CRB_Neighborhood,SITE_NAME,OWNERSHIP,TYPECODE,ACRES,TypeLong
North End,Brooke Courthouse Plaza,Commonwealth of Massachusetts,1,0.24,Malls_Sqs_Plaza
North End,Union Street Park II,City of Boston,1,0.03,Malls_Sqs_Plaza
North End,Richmond & North Streets Park II,MassDOT,3,0.28,Park_Play_Fields
North End,Government Center Garage Plaza,Private,1,0.94,Malls_Sqs_Plaza
North End,Cardinal Cushing Park II,City of Boston,1,0.07,Malls_Sqs_Plaza
North End,Bowdoin Mall,City of Boston,1,0.5,Malls_Sqs_Plaza
North End,Hawkins-New Sudbury Mall I,BRA,1,0.1,Malls_Sqs_Plaza
North End,Hawkins-New Sudbury Mall II,City of Boston,1,0.07,Malls_Sqs_Plaza
North End,Ashburton Place Plaza,Commonwealth of Massachusetts,1,0.82,Malls_Sqs_Plaza
North End,Aquarium Harborwalk II,BRA,1,0.5,Malls_Sqs_Plaza
North End,India Wharf Harborwalk,Private,1,0.41,Malls_Sqs_Plaza
North End,Rowe's Wharf Harborwalk,Private,1,1.26,Malls_Sqs_Plaza
North End,400R Atlantic Avenue Harborwalk,Private,1,0.05,Malls_Sqs_Plaza
North End,408 Atlantic Avenue Harborwalk,United States of America,1,0.03,Malls_Sqs_Plaza
North End,Commercial Wharf Harborwalk,Private,1,0.19,Malls_Sqs_Plaza
North End,Joe's American Harborwalk,Private,1,0.05,Malls_Sqs_Plaza
North End,North Square,City of Boston,1,0.06604965,Malls_Sqs_Plaza
North End,Aquarium Plaza,Private,1,0.46,Malls_Sqs_Plaza
North End,Aquarium Harborwalk I,Private,1,0.53,Malls_Sqs_Plaza
North End,Webster Avenue Playground,City of Boston,3,0.06,Park_Play_Fields
North End,Central Court,Private,1,0.07,Malls_Sqs_Plaza
North End,Portal Park,MassDOT,1,0.36,Malls_Sqs_Plaza
North End,Christopher Columbus Park,City of Boston,3,4.74438387,Park_Play_Fields
North End,Long Wharf,BRA,1,3.9,Malls_Sqs_Plaza
North End,Long Wharf Boat Access,BRA,1,0,Malls_Sqs_Plaza
North End,Puopolo Playground,City of Boston,3,2.09019043,Park_Play_Fields
North End,Old City Hall Grounds,BRA,1,0.22675871,Malls_Sqs_Plaza
North End,King's Chapel Burying Ground,City of Boston,4,0.43054804,Burial_Grounds
North End,Mirabella Pool,City of Boston,3,1.37,Park_Play_Fields
Roslindale,Connell Fields/Hickey Courts,Commonwealth of Massachusetts,3,4.1483742,Park_Play_Fields
Roslindale,Weider Park,Commonwealth of Massachusetts,3,6.91931115,Park_Play_Fields
Roslindale,Monterey Hilltop I,City of Boston,6,4.12374269,Natural_Areas
Roslindale,Monterey Hilltop II,Private,6,0.10408992,Natural_Areas
Roslindale,Sherrin Woods I,City of Boston,6,23.81339751,Natural_Areas
Roslindale,Oak Lawn Cemetery,Private,4,10.40684866,Burial_Grounds
Roslindale,Euclid Street,Private,7,3.84836232,Natural_Areas
Roslindale,Stony Brook Recreation Complex,Commonwealth of Massachusetts,3,27.39,Park_Play_Fields
Roslindale,Pleasant View I,City of Boston,6,0.07,Natural_Areas
Roslindale,Pleasant View II,Private,6,0.17,Natural_Areas
Roslindale,Oak Lawn Golf Range,Private,7,22.92,Park_Play_Fields
Roslindale,Woodhaven,City of Boston,6,1.1823713,Natural_Areas
Roslindale,Kennedy Playground,Commonwealth of Massachusetts,3,0.26002942,Park_Play_Fields
Roslindale,Forest Hills Cemetery,Private,4,243.7323322,Burial_Grounds
Roslindale,Walter Street Cemetery,City of Boston,4,0.8659424,Burial_Grounds
Roslindale,Weld Hill Tract,Private,3,14.11,Park_Play_Fields
Roslindale,Pagel Playground,City of Boston,3,2.72504189,Park_Play_Fields
Roslindale,Parkman Playground,City of Boston,3,2.06809445,Park_Play_Fields
Roslindale,Leland Street Herb Garden,BNAN,5,0.25911714,Community_Gardens
Roslindale,Fallon Field,City of Boston,3,7.51145116,Park_Play_Fields
Roslindale,Poplar Street Play Area,City of Boston,3,0.44211382,Park_Play_Fields
Roslindale,Southwest Boston Garden Club,MBTA,5,1.52021643,Community_Gardens
Roslindale,Delano Park,City of Boston,1,0.20637203,Malls_Sqs_Plaza
Roslindale,Toll Gate Cemetery,Private,4,0.90478525,Burial_Grounds
Roslindale,Forest Hills Rotary,Commonwealth of Massachusetts,1,0.69082163,Malls_Sqs_Plaza
Roslindale,Billings Field,City of Boston,3,10.77506733,Park_Play_Fields
Roslindale,Westerly Burying Ground,City of Boston,4,0.90346258,Burial_Grounds
Roslindale,Duffie Square,City of Boston,1,0.06040139,Malls_Sqs_Plaza
Roslindale,Allandale Woods I,City of Boston,6,49.58,Natural_Areas
Roslindale,Allandale Woods III,Private,6,16.72,Natural_Areas
Roslindale,Bellevue Hill Reservation,Commonwealth of Massachusetts,2,26.78180477,Parks_Reserv_Beaches
Roslindale,West Roxbury Parkway,Commonwealth of Massachusetts,2,31.76,Parks_Reserv_Beaches
Roslindale,Dooley Playground,Commonwealth of Massachusetts,3,0.44495663,Park_Play_Fields
Roslindale,Stony Brook Reservation I,Commonwealth of Massachusetts,2,292.26,Parks_Reserv_Beaches
Roslindale,Clark/Cooper Community Garden,Private,5,3.55,Community_Gardens
Roslindale,Kennedy Garden,Commonwealth of Massachusetts,5,0.15963181,Community_Gardens
Roslindale,Allandale Field,Private,3,2.63,Park_Play_Fields
Roslindale,Harvard Tract I,Private,3,5.03376834,Park_Play_Fields
Roslindale,Harvard Tract III,Private,3,1.45477498,Park_Play_Fields
Roslindale,Harvard Tract II,Private,3,5.26425599,Park_Play_Fields
Roslindale,American Legion Highway,City of Boston,2,6.77872585,Parks_Reserv_Beaches
Roslindale,Morton Street,Commonwealth of Massachusetts,2,0.76090289,Parks_Reserv_Beaches
Roslindale,St Michael's Cemetery,Private,4,46.49983645,Burial_Grounds
Roslindale,Harvard-Livermore Tract,Private,6,5.65144064,Natural_Areas
Roslindale,Arborway Overpass Path,Commonwealth of Massachusetts,2,1.16375787,Parks_Reserv_Beaches
Roslindale,Zero Quinn Way,City of Boston,3,0.03197035,Park_Play_Fields
Roslindale,Allandale Woods ROW,Private,6,0.16,Natural_Areas
Roslindale,Ernst Chery Jr. Playground,City of Boston,3,0.25,Park_Play_Fields
Roslindale,South Street Community Garden,Commonwealth of Massachusetts,5,0.47012064,Community_Gardens
Roslindale,McGann Park,City of Boston,3,0.88,Park_Play_Fields
Roslindale,Mattahunt Woods III,City of Boston,6,3.57,Natural_Areas
Roslindale,Bussey Brook Meadow II,MBTA,6,1.17,Natural_Areas
Roslindale,St. John Chrysostom Tract,Private,6,4.31,Natural_Areas
Roslindale,Allandale Woods II,City of Boston,6,10.59,Natural_Areas
Roslindale,Mattahunt Woods II,Private,6,3.74,Natural_Areas
Roslindale,Mattahunt Woods Buffer,Private,6,1.02,Natural_Areas
Roslindale,Mattahunt School Woods,City of Boston,6,0.96,Natural_Areas
Roslindale,Mattahunt Schoolyard,City of Boston,3,3.31,Park_Play_Fields
Roslindale,Mattahunt School Entrance Plaza,City of Boston,1,0.37,Malls_Sqs_Plaza
Roslindale,Currier Woods I,City of Boston,6,1.43,Natural_Areas
Roslindale,Currier Woods II,Private,6,0.56,Natural_Areas
Roslindale,Savannah Woods II,Private,6,0.73,Natural_Areas
Roslindale,Canterbury Brookside II,Private,6,0.49,Natural_Areas
Roslindale,Savannah Woods I,City of Boston,6,3.2,Natural_Areas
Roslindale,Mattahunt Woods I,City of Boston,6,6.01,Natural_Areas
Roslindale,Fairlawn Green,Private,1,1.15,Malls_Sqs_Plaza
Roslindale,Hunt Playground II,City of Boston,3,0.15,Park_Play_Fields
Roslindale,Roslindale Wetlands Urban Wild I,City of Boston,6,8.05,Natural_Areas
Roslindale,Roslindale Wetlands Urban Wild II,Private,6,2.45,Natural_Areas
Roslindale,Crane Ledge III,Private,7,25.06,Natural_Areas
Roslindale,Crane Ledge I,City of Boston,7,1.45,Natural_Areas
Roslindale,Crane Ledge II,Commonwealth of Massachusetts,7,0.2,Natural_Areas
Roslindale,Sherrin Woods II,Private,6,1.11,Natural_Areas
Roslindale,Woodhaven Street Lot,Private,7,1.2,Natural_Areas
Roslindale,Orlando-Monterey Lot II,Private,7,0.21,Natural_Areas
Roslindale,Bussey Brook Meadow I,City of Boston,6,24.68,Natural_Areas
Roslindale,Arborway II,Commonwealth of Massachusetts,2,1.15,Parks_Reserv_Beaches
Roslindale,Forest Hills Preserve,BHA,6,2.45,Natural_Areas
Roslindale,Allandale Woods IV,Private,6,6.29,Natural_Areas
Roslindale,Allandale Woods V,Private,6,2.78,Natural_Areas
Roslindale,Recuperative Center Lawn,Private,3,0.31,Park_Play_Fields
Roslindale,Duck Pond Outlet,Private,6,0.19,Natural_Areas
Roslindale,Conley School Play Yard,City of Boston,3,1.42,Park_Play_Fields
Roslindale,Centre Street II,Commonwealth of Massachusetts,2,0.19,Parks_Reserv_Beaches
Roslindale,Centre Street I,Commonwealth of Massachusetts,2,2.25,Parks_Reserv_Beaches
Roslindale,Centre Street V,City of Boston,2,0.26,Parks_Reserv_Beaches
Roslindale,Centre Street IV,Commonwealth of Massachusetts,2,0.32,Parks_Reserv_Beaches
Roslindale,Pendergast Entrance,Private,6,1.03,Natural_Areas
Roslindale,Emmel Square,City of Boston,1,0.02,Malls_Sqs_Plaza
Roslindale,Boundary I,City of Boston,6,6.92577563,Natural_Areas
Roslindale,Stony Brook Reservation III,Commonwealth of Massachusetts,2,65.66,Parks_Reserv_Beaches
Roslindale,George Wright Golf Course,City of Boston,3,156.37,Park_Play_Fields
Roslindale,DeForest Urban Wild II,Private,6,0.11,Natural_Areas
Roslindale,DeForest Urban Wild I,City of Boston,6,0.91,Natural_Areas
Roslindale,Healy Playground,City of Boston,3,9.53912629,Park_Play_Fields
Roslindale,Arborway I,Commonwealth of Massachusetts,2,12.45,Parks_Reserv_Beaches
Roslindale,Forest Hills Station Mall,MBTA,1,1.33,Malls_Sqs_Plaza
Roslindale,Philbrick Schoolyard,City of Boston,3,0,Community_Gardens
Roslindale,Boston State Hospital Campus,Commonwealth of Massachusetts,3,17.69,Park_Play_Fields
Roslindale,State Public Health Campus,Commonwealth of Massachusetts,3,11.81,Park_Play_Fields
Roslindale,Olmsted Green Park,Private,3,0.09,Park_Play_Fields
Roslindale,Franklin Park Zoo Parking/DCR,Commonwealth of Massachusetts,7,31,Park_Play_Fields
Roslindale,Stony Brook Reservation II,Commonwealth of Massachusetts,2,141.89,Parks_Reserv_Beaches
Roslindale,Stony Brook Commons Park,Private,3,1.53,Park_Play_Fields
Roslindale,Adams Park,City of Boston,3,0.7,Park_Play_Fields
Roslindale,Arnold Arboretum,City of Boston,3,224.26,Park_Play_Fields
Roslindale,Hunt Playground,City of Boston,3,17.04561712,Park_Play_Fields
Roslindale,Neponset River Reservation I,Commonwealth of Massachusetts,2,183.32,Parks_Reserv_Beaches
Roslindale,Canterbury I,City of Boston,6,1.24,Natural_Areas
Roslindale,Canterbury II,Private,3,3.8,Park_Play_Fields
Roslindale,Canterbury III,Private,3,0.64,Park_Play_Fields
Roslindale,Rowe Street Woods,BRA,6,2.64,Natural_Areas
Roslindale,Mt. Hope Cemetery,City of Boston,4,125.04,Burial_Grounds
Roslindale,Calvary Cemetery,Private,4,47.23,Burial_Grounds
Roslindale,New Calvary Cemetery,Private,4,54.37336773,Burial_Grounds
Roslindale,Pendergast Preventorium,Private,6,6.81237946,Natural_Areas
Roslindale,Boston Nature Center_Visitor Ctr,City of Boston,3,2.33,Park_Play_Fields
Roslindale,Boston Nature Center,Private,6,58.53,Natural_Areas
Roslindale,VFW Parkway I,Commonwealth of Massachusetts,2,12.44,Parks_Reserv_Beaches
Roslindale,VFW Parkway II,City of Boston,3,0.65,Park_Play_Fields
Roslindale,Bellevue Street Green,City of Boston,1,0.17,Malls_Sqs_Plaza
Roxbury,Nonquit Green,Community Group/Nonprofit,1,0.35746179,Malls_Sqs_Plaza
Roxbury,Mullen Square,City of Boston,1,0.22675059,Malls_Sqs_Plaza
Roxbury,Blue Hill Rock,BHA,6,0.4499289,Natural_Areas
Roxbury,Franklin Field BHA Garden,City of Boston,5,0.43377787,Community_Gardens
Roxbury,ReVision House Urban Farm #1,Private,5,0.35190856,Community_Gardens
Roxbury,Lucerne/Balsam Street Garden,BNAN,5,0.22551695,Community_Gardens
Roxbury,Dudley Town Common,City of Boston,1,0.62004086,Malls_Sqs_Plaza
Roxbury,St James Street Park,City of Boston,3,0.38489331,Park_Play_Fields
Roxbury,Malcolm X Park I,City of Boston,3,15.12,Park_Play_Fields
Roxbury,Horatio Harris Park,City of Boston,3,2.52189718,Park_Play_Fields
Roxbury,Trotter School Playground,City of Boston,3,1.24398438,Park_Play_Fields
Roxbury,Crawford Street Playground,City of Boston,3,1.72194396,Park_Play_Fields
Roxbury,Elm Hill Park,City of Boston,1,0.117909,Malls_Sqs_Plaza
Roxbury,Quincy Street Play Area,City of Boston,3,0.53142047,Park_Play_Fields
Roxbury,Savin/Maywood Street Garden,BNAN,5,0.46294139,Community_Gardens
Roxbury,Howes Playground,City of Boston,3,1.89,Park_Play_Fields
Roxbury,Little Scobie Playground,City of Boston,3,0.79435599,Park_Play_Fields
Roxbury,Erie/Ellington Playground,City of Boston,3,0.3743838,Park_Play_Fields
Roxbury,Puddingstone Park,City of Boston,3,0.55,Park_Play_Fields
Roxbury,Bynoe Park,City of Boston,3,2.67,Park_Play_Fields
Roxbury,Buena Vista,City of Boston,6,1.34549904,Natural_Areas
Roxbury,St. Joseph's Garden,Private,5,0.2024447,Community_Gardens
Roxbury,The Food Project Lot #1A,City of Boston,5,0.41,Community_Gardens
Roxbury,Winthrop Street Garden,BNAN,5,0.1112406,Community_Gardens
Roxbury,Nuestra Playground,BNAN,3,0.23341849,Park_Play_Fields
Roxbury,Dennis Street Park,City of Boston,3,0.4160878,Park_Play_Fields
Roxbury,Holborn Street Playlot,City of Boston,3,0.1,Park_Play_Fields
Roxbury,Franklin Square,City of Boston,1,2.48280505,Malls_Sqs_Plaza
Roxbury,South End South Burying Ground,City of Boston,4,1.47716127,Burial_Grounds
Roxbury,Worcester Square,City of Boston,1,0.34375641,Malls_Sqs_Plaza
Roxbury,Titus Sparrow Park,City of Boston,3,1.7513453,Park_Play_Fields
Roxbury,Concord Square,City of Boston,1,0.14955097,Malls_Sqs_Plaza
Roxbury,Saranac/New Castle Garden,MBTA,5,0.15201745,Community_Gardens
Roxbury,Kendall & Lenox Streets Garden,Community Group/Nonprofit,5,0.43402264,Community_Gardens
Roxbury,Ramsay Park,City of Boston,3,5.49340772,Park_Play_Fields
Roxbury,Worcester Street Garden,Community Group/Nonprofit,5,0.57,Community_Gardens
Roxbury,Wellington Green,Community Group/Nonprofit,5,0.04605808,Community_Gardens
Roxbury,Blackwood/Claremont Garden,MBTA,5,0.09479788,Community_Gardens
Roxbury,Greenwich/Cumberland Garden,MBTA,5,0.08851492,Community_Gardens
Roxbury,Chester Square,City of Boston,1,0.89013036,Malls_Sqs_Plaza
Roxbury,Mason Schoolyard,City of Boston,3,0.38047679,Park_Play_Fields
Roxbury,Boys Club Park,Private,3,0.81512514,Park_Play_Fields
Roxbury,Massachusetts Avenue Malls,City of Boston,1,0.43492921,Malls_Sqs_Plaza
Roxbury,United Nbhd of Lower Roxbury CG,Commonwealth of Massachusetts,5,0.27680273,Community_Gardens
Roxbury,Rutland Green,BRA,5,0.09157466,Community_Gardens
Roxbury,Wellington Common,TTOR,5,0.04,Community_Gardens
Roxbury,West Springfield Garden,Community Group/Nonprofit,5,0.16481075,Community_Gardens
Roxbury,Greenwood Community Garden,BNAN,5,0.20391477,Community_Gardens
Roxbury,Nellie Miranda Memorial Park,City of Boston,3,0.09,Park_Play_Fields
Roxbury,Grove Hall Plaza,City of Boston,1,0.09250954,Malls_Sqs_Plaza
Roxbury,Boston Medical Center Campus,Private,1,1.31,Malls_Sqs_Plaza
Roxbury,Nonquit Street Garden,City of Boston,5,0.15,Community_Gardens
Roxbury,American Legion Highway,City of Boston,2,6.77872585,Parks_Reserv_Beaches
Roxbury,Monadnock Street Garden,BNAN,5,0.22428755,Community_Gardens
Roxbury,Newland Street Park,City of Boston,3,0.13833095,Park_Play_Fields
Roxbury,Northhampton St Community Garden,Community Group/Nonprofit,5,0.22024522,Community_Gardens
Roxbury,Fenelon Street Playground,City of Boston,3,0.19,Park_Play_Fields
Roxbury,NCAAA Museum Grounds,Private,1,0.8369024,Malls_Sqs_Plaza
Roxbury,Bessie Barnes Garden,Community Group/Nonprofit,5,0.13321562,Community_Gardens
Roxbury,Boston Evening Academy Garden,City of Boston,5,0.22,Community_Gardens
Roxbury,Phyllis Wheatley/Warren Place,City of Boston,5,0.15,Community_Gardens
Roxbury,ReVision House Urban Farm #2,Community Group/Nonprofit,5,0.37642885,Community_Gardens
Roxbury,The Food Project Lot #3,Private,5,0.11455758,Community_Gardens
Roxbury,Wakullah St. CG,BRA,5,0.10242284,Community_Gardens
Roxbury,Warren Gardens Community Garden,Community Group/Nonprofit,5,0.25898998,Community_Gardens
Roxbury,Washington Manor Community Garden,BHA,5,0.02207476,Community_Gardens
Roxbury,Canterbury Brookside I,Commonwealth of Massachusetts,6,3.57,Natural_Areas
Roxbury,Franklin Field BHA Green,City of Boston,3,0.7,Park_Play_Fields
Roxbury,Franklin Field BHA Playground,City of Boston,3,0.39,Park_Play_Fields
Roxbury,ELC Playlot,City of Boston,3,0.45,Park_Play_Fields
Roxbury,Bessie Barnes Park,Community Group/Nonprofit,3,0.1,Park_Play_Fields
Roxbury,Frederick Douglass Peace Garden,BRA,5,0.11,Community_Gardens
Roxbury,Carter School Grounds,City of Boston,3,0.49,Park_Play_Fields
Roxbury,Harrison Urban Garden,Private,5,0.2,Community_Gardens
Roxbury,Cedar-Juniper Natural Area,BNAN,6,0.38,Natural_Areas
Roxbury,Sharon's Park,City of Boston,1,0.31,Malls_Sqs_Plaza
Roxbury,Washburn Street Green I,City of Boston,1,0.13,Malls_Sqs_Plaza
Roxbury,59 Crawford Street Playground,Private,3,0.24748528,Park_Play_Fields
Roxbury,Wolf Square,City of Boston,1,0.02,Malls_Sqs_Plaza
Roxbury,Malcolm X Park II,City of Boston,3,0.19,Park_Play_Fields
Roxbury,The Food Project Lot #1B,Private,5,0.19,Community_Gardens
Roxbury,Shirley-Eustis House Grounds,Private,3,1.3,Park_Play_Fields
Roxbury,Piano Craft Garden,Private,1,0.56,Malls_Sqs_Plaza
Roxbury,Columbia Road Park,Commonwealth of Massachusetts,3,0.12,Park_Play_Fields
Roxbury,Nancy Kafka Reserve,Private,6,0.71,Natural_Areas
Roxbury,Maple-Sonoma Streets Community Park,City of Boston,3,0.26,Park_Play_Fields
Roxbury,Erie/Wolcott Streets Park,BNAN,3,0.25,Park_Play_Fields
Roxbury,Meany Park,Commonwealth of Massachusetts,3,0.22341152,Park_Play_Fields
Roxbury,Magazine Street Garden,City of Boston,5,0.1922413,Community_Gardens
Roxbury,Clifford Playground,City of Boston,3,7.65642255,Park_Play_Fields
Roxbury,Laviscount Park,City of Boston,3,0.64,Park_Play_Fields
Roxbury,Columbia Road Totlot,City of Boston,3,0.22,Park_Play_Fields
Roxbury,Roxbury Heritage State Park I,Commonwealth of Massachusetts,3,2.81,Park_Play_Fields
Roxbury,Eliot Burying Ground,City of Boston,4,0.80077488,Burial_Grounds
Roxbury,Mt. Pleasant Play Area,City of Boston,3,0.31333134,Park_Play_Fields
Roxbury,Richardson Park,Commonwealth of Massachusetts,1,1.12087438,Malls_Sqs_Plaza
Roxbury,Columbia Road,City of Boston,2,0.58,Parks_Reserv_Beaches
Roxbury,Beauford Play Area,City of Boston,3,0.23995873,Park_Play_Fields
Roxbury,King School Park,BRA,3,0.82,Park_Play_Fields
Roxbury,Children's Park,City of Boston,3,0.19,Park_Play_Fields
Roxbury,Winthrop Playground,City of Boston,3,1.5608951,Park_Play_Fields
Roxbury,The Food Project Lot #2,City of Boston,5,1.38,Community_Gardens
Roxbury,Leyland Street Garden,BNAN,5,0.39327913,Community_Gardens
Roxbury,Magnolia & Woodford Streets Garden,City of Boston,5,0.14701905,Community_Gardens
Roxbury,Denton Square,City of Boston,1,0.07843967,Malls_Sqs_Plaza
Roxbury,Dacia/Woodcliff Community Garden,BNAN,5,0.29448898,Community_Gardens
Roxbury,"Julian, Judson, Dean Garden",BNAN,5,0.1909683,Community_Gardens
Roxbury,Esparanza Garden,Private,5,0.11222645,Community_Gardens
Roxbury,Sargent Street Park,Community Group/Nonprofit,5,0.31034281,Community_Gardens
Roxbury,Fredericks Middle School Playground,City of Boston,3,5.13,Park_Play_Fields
Roxbury,Woodcliff,City of Boston,7,1.3,Natural_Areas
Roxbury,Ceylon Park I,City of Boston,3,4.17142627,Park_Play_Fields
Roxbury,Ceylon Park II,BRA,3,0.49,Park_Play_Fields
Roxbury,Dickerman School Yard,City of Boston,3,0.55,Park_Play_Fields
Roxbury,Hannon Playground,City of Boston,3,1.97257523,Park_Play_Fields
Roxbury,Melnea Cass Boulevard I,Commonwealth of Massachusetts,2,3.04353461,Parks_Reserv_Beaches
Roxbury,Franklin Hill Green,BHA,3,0.51,Park_Play_Fields
Roxbury,New Academy Estates Courtyard,Private,3,0,Park_Play_Fields
Roxbury,New Academy Estates Half Court,Private,3,0,Park_Play_Fields
Roxbury,Salvation Army Field,Private,3,1.48,Park_Play_Fields
Roxbury,YMCA Athletic Field,Private,3,2.34,Park_Play_Fields
Roxbury,Higginson Schoolyard,City of Boston,3,0.34619095,Park_Play_Fields
Roxbury,Southwest Corridor Park,MBTA,2,47.68,Parks_Reserv_Beaches
Roxbury,Harambee Park,City of Boston,3,45.55780088,Park_Play_Fields
Roxbury,St Mary's Cemetery,Private,4,10.62163805,Burial_Grounds
Roxbury,Tommy's Rock (Alpine),City of Boston,6,0.23,Natural_Areas
Roxbury,Blue Hill Club Recreation Center,City of Boston,3,3.04,Park_Play_Fields
Roxbury,Washburn Street Green II,City of Boston,1,0.01,Malls_Sqs_Plaza
Roxbury,Columbia Road Mall,City of Boston,1,0,Malls_Sqs_Plaza
West End,Phillips Street Play Area,City of Boston,3,0.11526636,Park_Play_Fields
West End,State House Park,Commonwealth of Massachusetts,1,1.23870543,Malls_Sqs_Plaza
West End,Temple Street Park,City of Boston,1,0.05911479,Malls_Sqs_Plaza
West End,West End Recreation Complex,Private,3,3.42,Park_Play_Fields
West End,Thoreau Path,Private,1,3.86,Malls_Sqs_Plaza
West End,Old West Church Yard,Private,3,0.19,Park_Play_Fields
South End,Hawes Burying Ground,City of Boston,4,0.25082368,Burial_Grounds
South End,Union Burying Ground,City of Boston,4,0.12115745,Burial_Grounds
South End,Dorchester Heights NHS,United States of America,1,4.40398348,Malls_Sqs_Plaza
South End,Sweeney Playground,City of Boston,3,0.47965763,Park_Play_Fields
South End,Lincoln Square,City of Boston,1,0.22,Malls_Sqs_Plaza
South End,St. Augustine Burying Ground,Private,4,0.91,Burial_Grounds
South End,"St. Augustine""s Park",Private,1,0.11,Malls_Sqs_Plaza
South End,Orton Field,City of Boston,3,1.59,Park_Play_Fields
South End,Columbia Road/Day Boulevard,Commonwealth of Massachusetts,2,16.85,Parks_Reserv_Beaches
South End,Columbia Park,City of Boston,3,0.34,Park_Play_Fields
South Boston,Hawes Burying Ground,City of Boston,4,0.25082368,Burial_Grounds
South Boston,Union Burying Ground,City of Boston,4,0.12115745,Burial_Grounds
South Boston,Dorchester Heights NHS,United States of America,1,4.40398348,Malls_Sqs_Plaza
South Boston,Sweeney Playground,City of Boston,3,0.47965763,Park_Play_Fields
South Boston,Lincoln Square,City of Boston,1,0.22,Malls_Sqs_Plaza
South Boston,St. Augustine Burying Ground,Private,4,0.91,Burial_Grounds
South Boston,"St. Augustine""s Park",Private,1,0.11,Malls_Sqs_Plaza
South Boston,Orton Field,City of Boston,3,1.59,Park_Play_Fields
South Boston,Columbia Road/Day Boulevard,Commonwealth of Massachusetts,2,16.85,Parks_Reserv_Beaches
South Boston,Columbia Park,City of Boston,3,0.34,Park_Play_Fields
South Boston Waterfront,Medal of Honor Park,City of Boston,1,6.18269328,Malls_Sqs_Plaza
South Boston Waterfront,Christopher Lee Playground,City of Boston,3,5.43798868,Park_Play_Fields
South Boston Waterfront,Buckley Playground,City of Boston,3,0.65561916,Park_Play_Fields
South Boston Waterfront,Fan Pier Plaza,United States of America,1,2.36,Malls_Sqs_Plaza
South Boston Waterfront,Children's Wharf Harborwalk,Private,1,0.23,Malls_Sqs_Plaza
South Boston Waterfront,Martin's Park,City of Boston,3,0.85,Park_Play_Fields
South Boston Waterfront,Strandway/Castle Island,Commonwealth of Massachusetts,2,47.69946623,Parks_Reserv_Beaches
South Boston Waterfront,Children's Museum Plaza,Private,1,0.44,Malls_Sqs_Plaza
South Boston Waterfront,Boston Design Center Plaza,BRA,1,0.61467077,Malls_Sqs_Plaza
South Boston Waterfront,Dry Dock Plaza,BRA,1,0.24,Malls_Sqs_Plaza
South Boston Waterfront,Marine Industrial Park Entrance I,BRA,1,1.24,Malls_Sqs_Plaza
South Boston Waterfront,Marine Industrial Park Entrance II,Massport,1,0.01,Malls_Sqs_Plaza
South Boston Waterfront,Eastport Park,Massport,3,1.15,Park_Play_Fields
South Boston Waterfront,South Boston Maritime Park,Massport,3,0.88,Park_Play_Fields
South Boston Waterfront,Pier Four Harborwalk,Private,1,0.09,Malls_Sqs_Plaza
South Boston Waterfront,Reserved Channel Harborwalk,Private,1,3.19,Malls_Sqs_Plaza
South Boston Waterfront,Pier 10 Mall,BRA,1,0.56,Malls_Sqs_Plaza
South Boston Waterfront,Tunnel Harborwalk,MassDOT,1,0.18,Malls_Sqs_Plaza
South Boston Waterfront,Podium Plaza,Massport,1,0.46,Malls_Sqs_Plaza
South Boston Waterfront,Williams Tunnel Portal Park,MassDOT,1,0.2,Malls_Sqs_Plaza
South Boston Waterfront,Foster's Nook CG I,City of Boston,5,0.07,Community_Gardens
South Boston Waterfront,Foster's Nook CG II,Community Group/Nonprofit,5,0.04,Community_Gardens
South Boston Waterfront,ICA Pier Walk,Private,1,0.29,Malls_Sqs_Plaza
South Boston Waterfront,Fan Pier Harborwalk,Private,1,1.66,Malls_Sqs_Plaza
South Boston Waterfront,The Park at Fan Pier,Private,3,1.26,Park_Play_Fields
South Boston Waterfront,Q Park,Private,3,0.6,Park_Play_Fields
